"CustomerID","PurchaseDate","PurchaseValue"
17602,2011-11-16,24.96
16065,2010-10-31,19.85
14911,2011-07-28,69.6
17322,2010-11-21,5.85
12577,2011-11-04,8.25
17389,2011-09-26,591.3
14472,2011-08-28,9.7
15983,2011-11-17,30
16170,2011-04-05,46.8
14130,2010-10-18,1.26
15808,2010-06-29,7.5
15493,2010-07-26,12.15
17001,2011-11-17,20.8
12399,2010-11-19,13.2
14911,2009-12-07,23.4
13694,2011-11-14,142.2
18011,2010-12-01,2.9
16943,2010-06-18,241.38
14312,2010-07-23,19.8
17284,2011-04-18,1.95
17646,2010-05-21,10.2
14088,2011-10-16,131.4
18245,2010-04-15,16.92
12678,2011-02-28,13.2
13448,2010-09-27,12.6
18159,2011-02-11,15.6
16619,2011-03-21,10.08
17581,2011-05-10,17.7
14667,2010-05-17,29.96
12705,2011-10-28,15
16705,2010-06-04,51
14685,2010-05-12,19.8
17530,2010-12-09,9.3
14961,2010-11-21,50.4
16573,2011-09-16,15
12759,2010-05-24,13.52
15998,2009-12-01,6.75
14527,2011-10-20,5.9
15823,2009-12-08,25
13491,2010-12-02,24.95
15367,2011-03-09,35.7
12647,2010-08-19,36
13767,2010-10-29,15
12453,2011-07-28,60.3
17059,2010-06-14,4.25
14243,2010-11-09,10.2
14527,2009-12-02,33.5
16271,2010-08-26,18.4
16887,2009-12-01,4.95
15044,2010-01-26,19.9
16522,2010-09-30,53.1
13089,2010-08-11,30
12647,2010-12-05,0
17051,2011-05-29,12.85
15587,2011-09-11,244.08
12354,2011-04-21,17.7
15694,2010-10-08,78.9
14297,2011-03-10,12.6
17450,2010-10-25,978.48
12621,2010-03-18,39
16395,2011-01-20,10.5
12921,2010-07-02,26.4
12645,2011-01-27,39.6
13042,2009-12-07,18.48
12949,2010-09-02,17.85
13297,2011-11-16,39.6
13798,2011-09-12,72
16180,2010-08-09,5.04
12687,2010-08-16,28.2
14684,2011-10-30,4.25
14177,2010-02-26,12.75
15584,2011-06-30,2.08
13761,2011-06-13,10.2
16801,2011-03-11,15
13089,2010-08-31,29.96
16456,2011-02-06,41.55
15483,2010-01-24,0.84
17448,2010-03-29,10.17
14684,2010-12-12,2.5
13081,2010-01-07,23.7
15615,2010-09-08,17.7
15987,2011-07-14,7.55
15296,2011-08-22,17
16601,2011-10-30,7.54
15978,2010-10-03,44.7
14796,2011-07-25,4.38
13089,2010-06-29,76.32
16775,2011-09-28,8.85
14837,2010-01-24,10.2
18102,2011-10-03,300.16
12668,2010-10-06,53.25
16536,2011-08-21,5.9
13030,2010-12-06,5.4
14963,2010-10-07,15.45
15805,2011-04-20,12.5
17867,2011-11-09,5.04
16455,2010-12-03,30
14891,2010-10-19,13.52
15311,2010-10-20,11.9
16255,2010-01-24,5.1
16241,2011-09-04,2.55
15021,2010-07-29,5.4
16496,2011-05-16,20.8
14057,2011-02-18,20.22
16906,2011-06-06,16.5
14606,2010-02-18,14.45
15861,2010-09-09,11.9
12553,2011-03-25,20.4
14276,2010-02-17,13.2
16426,2011-12-02,6.5
17027,2011-06-13,3.3
13635,2011-10-03,19.44
16717,2010-10-08,22.5
17579,2011-07-25,17.25
13707,2011-01-28,17
14730,2011-12-08,5.79
15808,2010-04-30,7.5
13552,2011-05-18,115.86
12437,2011-10-27,42.96
17096,2010-06-02,7.95
16017,2010-01-05,30.15
16458,2011-08-25,20.8
14592,2011-10-06,12.38
17107,2011-03-06,4.95
17006,2011-11-21,19.8
14769,2011-09-18,24.2
13558,2011-10-02,3.75
13319,2011-10-04,23.4
15370,2011-02-15,37.5
14527,2010-01-17,39.95
14686,2010-10-21,28.47
17001,2011-01-24,10.2
13047,2011-03-30,-4.25
12449,2011-06-05,90
15005,2010-08-23,4.2
14390,2011-11-18,21.65
16682,2011-07-04,20.4
16795,2010-12-09,8.3
15311,2011-06-07,8.3
14810,2011-04-13,6.6
17589,2010-11-19,28.4
17243,2009-12-18,40.5
16842,2011-08-31,15
16549,2010-09-26,13.95
17257,2010-09-29,2.95
17254,2010-11-03,3.4
16474,2011-10-04,11.15
14680,2010-06-22,93.3
15850,2010-11-16,8.02
13373,2010-10-20,88
17981,2010-10-25,8.25
13495,2010-11-24,106.2
12585,2010-12-23,15
14355,2010-03-22,6.72
13694,2009-12-04,117
16933,2009-12-09,3.75
17625,2011-11-21,11.93
14222,2011-06-15,21.54
14341,2011-08-01,15.3
16928,2010-11-07,8.75
12986,2010-10-07,50.4
14395,2011-04-07,2.55
14701,2010-01-24,2.95
13097,2011-09-23,15.65
17220,2010-09-08,10.55
13101,2011-04-19,9.9
12921,2011-09-16,16.5
16110,2011-02-01,0.85
13434,2010-02-22,25.2
17091,2010-09-29,33
18181,2010-05-25,2.5
17735,2010-12-07,79.55
15444,2011-11-30,32.38
17841,2011-06-16,8.25
13293,2010-06-18,14.98
13975,2011-08-03,17.37
13971,2011-06-14,17.7
17622,2010-04-21,15
16797,2009-12-02,5.2
15942,2011-07-29,37.8
13717,2011-10-14,24.96
13097,2010-03-03,5.95
16926,2010-12-03,15.9
17997,2011-07-29,4.68
14680,2010-02-26,25.2
16241,2011-04-06,6.8
17231,2010-05-27,23.3
13196,2011-09-16,30
14667,2010-01-14,17.7
15122,2011-02-15,15
