date;avg_temp;max_temp;min_temp;season
2018-10-30;13.9;17.9;10.0;Fall
2018-10-31;13.7;18.0;9.0;Fall
2018-11-03;14.1;15.2;12.9;Fall
2018-11-04;14.7;15.8;13.3;Fall
2018-11-05;15.5;18.2;13.4;Fall
2018-11-09;12.4;15.3;9.6;Fall
2018-11-10;12.5;13.8;10.4;Fall
2018-11-11;14.1;17.5;11.8;Fall
2018-11-14;12.9;15.0;10.1;Fall
2018-11-15;10.8;13.0;8.9;Fall
2018-11-20;3.7;5.5;1.3;Fall
2018-11-22;8.6;12.1;6.6;Fall
2018-11-26;9.9;13.4;7.9;Fall
2018-12-02;4.9;7.4;2.9;Fall
2018-12-07;7.1;10.4;4.8;Fall
2018-12-13;2.3;3.7;0.6;Fall
2018-12-14;2.5;5.2;0.6;Fall
2018-12-18;0.1;5.1;-3.2;Fall
2018-12-20;1.7;3.5;0.2;Fall
2018-12-21;2.7;5.6;0.5;Winter
2018-12-22;4.4;7.8;2.1;Winter
2018-12-23;3.4;4.4;1.4;Winter
2018-12-27;0.7;4.0;-2.4;Winter
2018-12-28;4.7;10.4;0.6;Winter
2018-12-29;5.2;10.5;1.5;Winter
2018-12-30;6.0;11.9;1.5;Winter
2018-12-31;5.4;11.1;0.4;Winter
2019-01-02;1.0;4.4;-2.2;Winter
2019-01-05;1.4;4.6;-1.4;Winter
2019-01-11;2.3;7.4;-1.0;Winter
2019-01-15;7.2;13.3;2.5;Winter
2019-01-18;5.7;6.9;4.2;Winter
2019-01-21;3.2;4.4;2.1;Winter
2019-01-24;1.7;4.0;-0.2;Winter
2019-01-27;0.9;3.5;-1.4;Winter
2019-01-28;2.8;4.1;0.7;Winter
2019-01-31;1.4;4.9;-1.2;Winter
2019-02-02;2.9;3.9;1.0;Winter
2019-02-06;5.9;10.8;2.2;Winter
2019-02-07;5.5;10.5;0.7;Winter
2019-02-08;6.2;11.5;2.2;Winter
2019-02-10;9.6;14.7;5.2;Winter
2019-02-12;8.8;14.4;1.8;Winter
2019-02-13;5.9;13.1;0.2;Winter
2019-02-14;6.9;13.9;1.3;Winter
2019-02-15;7.4;14.4;2.0;Winter
2019-02-17;9.0;16.4;3.1;Winter
2019-02-23;5.8;9.4;0.6;Winter
2019-02-26;11.7;18.9;5.3;Winter
2019-02-27;14.0;21.9;7.2;Winter
2019-02-28;11.9;18.9;6.0;Winter
2019-03-03;11.7;18.8;4.7;Winter
2019-03-04;12.6;18.1;7.2;Winter
2019-03-06;11.4;16.7;6.1;Winter
2019-03-09;13.4;19.9;7.2;Winter
2019-03-10;13.1;17.9;8.4;Winter
2019-03-11;12.4;19.2;5.1;Winter
2019-03-25;16.0;23.1;5.1;Spring
2019-03-28;9.2;14.7;3.5;Spring
2019-03-30;12.6;19.1;5.1;Spring
2019-03-31;13.9;21.0;6.5;Spring
2019-04-02;15.4;20.3;9.0;Spring
2019-04-06;12.5;16.7;9.0;Spring
2019-04-08;12.9;17.0;8.7;Spring
2019-04-10;13.9;19.4;9.3;Spring
2019-04-20;15.6;22.3;8.0;Spring
2019-04-29;8.9;10.9;6.6;Spring
2019-05-04;14.5;18.9;11.6;Spring
2019-05-05;8.4;13.6;6.4;Spring
2019-05-06;10.8;16.6;5.8;Spring
2019-05-12;10.9;12.7;10.1;Spring
2019-05-13;12.1;14.0;10.1;Spring
2019-05-17;14.4;18.9;9.1;Spring
2019-05-18;13.2;14.5;12.1;Spring
2019-05-19;13.9;16.9;12.4;Spring
2019-05-21;18.3;23.8;13.9;Spring
2019-05-22;18.2;23.7;14.4;Spring
